d_municipio,c_estado,c_mnpio
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Azcapotzalco,09,002
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Benito Juorez,09,014
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Coyoacon,09,003
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuajimalpa de Morelos,09,004
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Cuauhtomoc,09,015
Gustavo A. Madero,09,005
Gustavo A. Madero,09,005
Gustavo A. Madero,09,005
Gustavo A. Madero,09,005
Gustavo A. Madero,09,005
